Date Shipped,ShipFromLocation,ShipToLocation,Distance,Item,Weight,Shipment Cost,Fuel Surcharge,Tarping Charge,Line Haul Pass,Spot Quote,Stop Off Charges
4/13/23,"Pittsburgh, PA","San Diego, CA",1318,Roofing Membrane Roll,617.72,1827.94,105.44,0,1647.5,1763.06,75
3/11/24,"Charlotte, NC","Chicago, IL",533,Drainage Mat,586.01,708.89,42.64,0,666.25,697.01,0
9/28/23,"Hartford, CT","Denver, CO",1770,Underlayment Roll,161.5,2379.1,141.6,0,2212.5,2319.2,25
4/17/23,"Jacksonville, FL","Seattle, WA",1572,Metal Roofing Coil,1833.67,2215.76,125.76,100,1965,2081.04,25
3/13/23,"Baltimore, MD","Phoenix, AZ",1514,Roofing Membrane Roll,619.81,2063.62,121.12,0,1892.5,1773.8,50
12/1/24,"Wilmington, DE","Des Moines, IA",331,Metal Roofing Coil,2265.64,440.23,26.48,0,413.75,444.96,0
1/21/23,"Hartford, CT","Phoenix, AZ",2063,Drainage Mat,473.19,2918.79,165.04,100,2578.75,2689.01,75
9/6/24,"Hartford, CT","Salt Lake City, UT",2088,Roofing Membrane Roll,485.07,2877.04,167.04,100,2610,2578.02,0
5/2/23,"Orlando, FL","Milwaukee, WI",1448,Insulation Board,592.89,2050.84,115.84,100,1810,1767.97,25
4/11/24,"Newark, NJ","Houston, TX",2351,Drainage Mat,226.65,3251.83,188.08,100,2938.75,2963.93,25
8/3/23,"Jacksonville, FL","Kansas City, MO",1402,Insulation Board,875.93,1964.66,112.16,50,1752.5,1626.06,50
11/27/23,"Charlotte, NC","Phoenix, AZ",1512,Insulation Board,851.45,2135.96,120.96,50,1890,2038.89,75
4/3/24,"Norfolk, VA","Denver, CO",1320,Fasteners and Plates,199.65,1805.6,105.6,0,1650,1567,50
3/29/23,"Norfolk, VA","Las Vegas, NV",2443,Insulation Board,557.25,3299.19,195.44,50,3053.75,3184.49,0
1/8/24,"Providence, RI","Minneapolis, MN",1341,Metal Roofing Coil,2413.74,1883.53,107.28,50,1676.25,1688.48,50
4/10/23,"Orlando, FL","Portland, OR",2463,Metal Roofing Coil,2392.52,3375.79,197.04,100,3078.75,3261.81,0
10/25/24,"Savannah, GA","Denver, CO",329,Underlayment Roll,245.91,587.57,26.32,100,411.25,422.86,50
5/11/23,"Buffalo, NY","Des Moines, IA",993,Insulation Board,726.2,1495.69,79.44,100,1241.25,1265.83,75
10/23/24,"Albany, NY","Phoenix, AZ",2065,Drainage Mat,272.64,2846.45,165.2,50,2581.25,2440.49,50
11/5/23,"Baltimore, MD","Seattle, WA",562,Drainage Mat,384.8,822.46,44.96,50,702.5,714.62,25
12/10/23,"Richmond, VA","Detroit, MI",1839,Metal Roofing Coil,1870.56,2620.87,147.12,100,2298.75,2497.42,75
5/6/24,"Richmond, VA","Chicago, IL",2063,Fasteners and Plates,187.81,2918.79,165.04,100,2578.75,2399.55,75
2/18/24,"Pittsburgh, PA","Omaha, NE",2128,Drainage Mat,349.77,2905.24,170.24,50,2660,2435.13,25
1/21/24,"Columbia, SC","Houston, TX",1630,Insulation Board,873.75,2167.9,130.4,0,2037.5,1879.89,0
7/11/23,"Columbia, SC","Phoenix, AZ",1405,Drainage Mat,266.21,2018.65,112.4,100,1756.25,1904.07,50
10/4/23,"Pittsburgh, PA","Denver, CO",1135,Underlayment Roll,193.43,1609.55,90.8,100,1418.75,1390.09,0
6/10/23,"Atlanta, GA","Portland, OR",401,Drainage Mat,497.7,533.33,32.08,0,501.25,451.59,0
4/4/24,"Richmond, VA","Houston, TX",2491,Fasteners and Plates,67.14,3338.03,199.28,0,3113.75,3340.13,25
11/10/23,"Savannah, GA","Minneapolis, MN",674,Drainage Mat,338.54,1021.42,53.92,50,842.5,913.01,75
1/22/23,"Hartford, CT","San Diego, CA",1075,Drainage Mat,289.84,1604.75,86,100,1343.75,1247.23,75
9/10/23,"Raleigh, NC","Seattle, WA",1403,Roofing Membrane Roll,531.05,1915.99,112.24,50,1753.75,1590.26,0
7/14/24,"Philadelphia, PA","Kansas City, MO",262,Fasteners and Plates,104.36,523.46,20.96,100,327.5,336.16,75
4/19/24,"Pittsburgh, PA","Denver, CO",1166,Roofing Membrane Roll,385.07,1550.78,93.28,0,1457.5,1591.9,0
2/28/23,"Albany, NY","Kansas City, MO",541,Roofing Membrane Roll,522.92,819.53,43.28,100,676.25,743.45,0
5/25/24,"Tampa, FL","Indianapolis, IN",1959,Drainage Mat,319.84,2655.47,156.72,0,2448.75,2398.46,50
11/12/24,"Orlando, FL","Dallas, TX",922,Insulation Board,583.96,1276.26,73.76,50,1152.5,1084.53,0
4/20/24,"Charlotte, NC","San Diego, CA",1700,Drainage Mat,449.99,2361,136,50,2125,2268.04,50
11/30/24,"Hartford, CT","Portland, OR",1594,Insulation Board,526.28,2245.02,127.52,100,1992.5,2003.52,25
7/9/23,"Albany, NY","Salt Lake City, UT",2361,Underlayment Roll,232.23,3240.13,188.88,50,2951.25,2986.45,50
11/17/24,"Savannah, GA","Las Vegas, NV",254,Roofing Membrane Roll,341.19,462.82,20.32,100,317.5,333.58,25
7/16/24,"Charlotte, NC","San Antonio, TX",2101,Fasteners and Plates,90.61,2894.33,168.08,50,2626.25,2578.31,50
7/20/24,"Baltimore, MD","Seattle, WA",2023,Metal Roofing Coil,2485.25,2815.59,161.84,50,2528.75,2714.36,75
9/1/23,"Charlotte, NC","Houston, TX",2058,Drainage Mat,210.84,2837.14,164.64,100,2572.5,2660.94,0
5/19/24,"Jacksonville, FL","Des Moines, IA",1487,Metal Roofing Coil,2216.53,2102.71,118.96,50,1858.75,1972.25,75
5/11/23,"Savannah, GA","Indianapolis, IN",651,Underlayment Roll,316.68,890.83,52.08,0,813.75,755.34,25
4/29/24,"Orlando, FL","San Antonio, TX",1143,Insulation Board,617.26,1620.19,91.44,50,1428.75,1289.59,50
10/8/24,"Hartford, CT","Los Angeles, CA",346,Drainage Mat,494.36,460.18,27.68,0,432.5,465.06,0
1/21/23,"Norfolk, VA","Portland, OR",713,Insulation Board,668.57,1023.29,57.04,0,891.25,947.83,75
6/16/23,"Raleigh, NC","Chicago, IL",1609,Insulation Board,634.35,2314.97,128.72,100,2011.25,2047.57,75
10/1/23,"Jacksonville, FL","Houston, TX",1004,Fasteners and Plates,174.6,1385.32,80.32,50,1255,1323.73,0
1/23/24,"Newark, NJ","Minneapolis, MN",2090,Underlayment Roll,230.84,2904.7,167.2,50,2612.5,2750.23,75
8/23/24,"Atlanta, GA","San Antonio, TX",2306,Metal Roofing Coil,1879.97,3191.98,184.48,50,2882.5,2865.82,75
11/12/23,"Buffalo, NY","San Antonio, TX",720,Underlayment Roll,227.56,1057.6,57.6,50,900,924.03,50
1/14/23,"Boston, MA","Dallas, TX",1501,Insulation Board,587.21,2121.33,120.08,100,1876.25,1846.87,25
8/30/23,"Atlanta, GA","Portland, OR",1004,Underlayment Roll,257.71,1510.32,80.32,100,1255,1335.97,75
12/12/23,"Newark, NJ","Des Moines, IA",1579,Insulation Board,547.1,2100.07,126.32,0,1973.75,1884.56,0
7/18/24,"Tampa, FL","Los Angeles, CA",1601,Metal Roofing Coil,2083.67,2254.33,128.08,100,2001.25,1843.78,25
12/6/23,"Columbia, SC","Detroit, MI",845,Roofing Membrane Roll,354.75,1298.85,67.6,100,1056.25,1076.83,75
